rodada,pesos
75,"[-0.27037975  0.31425055 -0.65514173 -0.50573001 -0.5080294  -0.26399708
  0.13995625  1.42675857 -0.48460255  0.31694395  1.02459936  1.10804298]"
76,"[-0.16982355  0.11949724  0.10172387 -0.38738668 -0.7274309  -0.0483813
  0.68866942  0.75432445  0.37200807  0.26697068 -0.17400253 -0.10436687]"
77,"[ 0.78561456  0.94045985 -0.15904158 -0.33322726 -0.07945846 -0.76337733
  0.74989002  0.6991374   0.56226852 -0.83966878  0.6435741  -0.14997488]"
78,"[ 0.53419349  0.89627016 -0.77890443  0.43778448 -0.54512328 -0.06615693
  0.511957    0.22824994  0.42491471 -0.65064821 -0.925559   -0.07874298]"
79,"[ 0.22206498 -0.45200457 -0.74899229 -0.69951825  0.4453551   0.64384876
  0.22253302  1.18471058  0.37430929  0.55059036  0.18465231  0.04024295]"
80,"[ 0.8498606  -0.23094161 -0.73773852 -0.22498694 -0.37179113  0.77194365
  1.40843057  5.49112028 -0.62426439 -0.09115     0.49292312 -0.38088502]"
81,"[-0.18188359  0.41204215 -0.89477837  0.1319194   0.90575599  0.20255532
  0.10997247  1.17329949 -0.14941475 -0.75697526  0.38214211 -0.04040508]"
82,"[ 0.88517235 -0.48203453  0.916466    0.99487496  0.42963082  0.92592222
  2.72025114  4.44880542 -0.42741906 -0.74474843  0.93325489  0.76259816]"
83,"[ 0.33977581 -0.08969913  0.45036231  0.28002118 -0.04749727  0.49801998
  0.19755606  1.97448662  0.45604888  0.14092845 -0.86132128  0.68425446]"
84,"[-0.06396401  0.56877433 -0.9274284   0.05621634  0.40471222  0.96277142
 -0.02902849  0.32918959 -0.28272889  0.86071895 -0.27089322 -0.71411269]"
85,"[ 0.82195749  0.10026011  0.10014488  0.27675834  0.40059166  0.48170677
  1.56207814  3.8219975   0.72745083 -0.61558573  0.98833722  1.12753011]"
86,"[-0.3690562   0.55493187 -0.77744127  0.26353767  0.79742313  0.60128297
  1.43666754  0.87459445 -0.94766539  0.70576911 -0.2695258   0.70909706]"
87,"[-0.41709873  0.48857029 -0.15580467  0.20018633 -0.49835123 -0.43395601
  0.14992239  0.04343212  0.7027866   0.03353311 -0.96440118  0.8212168 ]"
88,"[ 0.97984815  0.57223668 -0.026672   -0.35503325  0.19539962 -0.40241706
  0.60200717  2.15627579 -0.27295078  0.73919374  0.66829122  0.53982994]"
89,"[-0.71995451  0.45402381 -0.26352969 -0.17715265 -0.23138274 -0.94028894
  2.10272596  2.97625917  0.70499429 -0.54541408 -0.86967216  0.09097249]"
90,"[-0.60299481 -0.14516331 -0.67086107 -0.11796826 -0.04510716  0.51008802
  2.37050936  3.552217   -0.2645429  -0.55940774 -0.13245608  0.80690815]"
91,"[ 0.23964779  0.55066395 -0.45997214  0.90988808 -0.0589038   0.5740766
  0.98520873  2.83587666 -0.78373926  0.35841706  0.41282883  0.52744409]"
92,"[-0.18693395  0.9083094  -0.25601688 -0.81211092  0.70666798  0.53458181
  1.13647948  4.24767524  0.14511897  0.13580771  1.00796829  1.09029063]"
93,"[-0.55844518  0.61801358 -0.87924744 -0.19644916 -0.52626597  0.01446971
  1.04627726  1.17224119 -0.7467336   0.51304544 -0.66846665 -0.08986417]"
94,"[ 0.64168569 -0.43169497 -0.57021518  0.32938038  0.91872932  0.21048452
  1.39745884  3.18564444 -0.27774149  0.14801779 -0.83696105 -0.16288903]"
95,"[ 0.81138925  1.55700061  0.31317256 -0.65128074 -0.47903888 -0.78974843
  3.70736712  4.84743531 -0.49003501  0.72608893  0.9865366   0.47397018]"
96,"[ 0.1238435   1.28320616 -0.57812504  0.79585187  1.24904088  0.70869037
  2.42813384  5.86653012  0.17309698  0.57424921  0.63516591  1.27326321]"
97,"[ 0.228265    0.02691667 -0.92247095 -0.83659238  0.98633245 -0.89200323
  1.26330725  1.51199016 -0.46556971 -0.07528057 -0.08286801  0.76277124]"
98,"[ 0.94591524 -0.86174537  0.73229231  0.2047661  -0.06789655 -0.51514121
  0.9438651   0.0246205   0.91330064  0.95258886 -0.31657651  0.84864633]"
99,"[ 0.986615    1.14832873  0.44679067 -0.19185231  0.16222733  0.13939237
  1.56961003  4.69725393  0.74989678 -0.15924129  0.28354929  1.41607197]"
100,"[ 0.15915795  1.38810565  0.4228835   0.78979703 -0.56902407 -0.66420673
 -0.00905738  1.47340974  0.97852846  0.20432487 -0.15372136  0.40649648]"
