rodada,pesos
43,"[ 4.87544250e+179  3.22388214e+180  1.06546816e+180 -6.83605243e+179
  3.00922338e+180  6.11244615e+178  3.31610560e+181  3.24700552e+182
  4.86572338e+179  1.66267711e+180 -4.03501294e+179  1.12955926e+180]"
44,"[-2.60242132e+178 -4.04276308e+179 -1.28970239e+178 -2.35716265e+178
 -6.38739184e+178 -1.90787351e+177 -2.20932094e+179 -7.91825652e+179
 -2.61282534e+178 -8.38769445e+178 -1.91944138e+178 -2.28862547e+179]"
45,"[ 1.25338278e+173  1.01346308e+174  1.11214009e+173  4.68022034e+172
  1.53434103e+173 -2.12188536e+172  3.25810210e+174 -5.71215361e+174
  1.22641756e+173  4.07031389e+173  9.59520671e+172  3.00074779e+174]"
46,"[-1.21107809e+166 -1.97170900e+167 -2.37567211e+165 -1.59498886e+166
  1.73810586e+166  2.60550613e+165 -5.25436418e+167 -3.35283775e+167
 -1.21630817e+166 -3.16242084e+166 -1.50490867e+166 -3.87100438e+166]"
47,"[-1.37477345e+167 -4.97999518e+167 -2.04526019e+167  3.31396713e+166
 -2.03912098e+167 -9.01550764e+166  4.44836339e+168 -1.97470020e+168
 -1.37408743e+167 -4.57456031e+167 -2.05210609e+167 -8.32527838e+167]"
48,"[ 1.09119150e+154  1.14692121e+155 -4.70459150e+153  1.54822907e+154
 -1.05147281e+154  6.85606330e+151  4.28160373e+154 -1.76744820e+155
  1.07287134e+154  3.11817576e+154  6.81950733e+153  2.05634456e+155]"
49,"[-1.09472276e+168 -8.60003554e+168 -7.07796505e+167  5.00313465e+167
 -4.57801199e+167  2.30882230e+165  1.79680833e+169  6.81095028e+169
 -1.09705896e+168 -3.86426114e+168 -1.03228746e+168 -6.89599340e+168]"
50,"[ 3.95164119e+163  2.40917291e+164  1.58167671e+163  3.41108738e+162
 -8.67005241e+163  7.71050431e+161  1.53770243e+164  4.45827644e+164
  3.92359305e+163  1.31808814e+164  1.57478256e+163  4.51855534e+164]"
51,"[-2.01539429e+168  8.53321714e+171 -9.07659106e+170  1.48718714e+171
  1.65940693e+171  2.73532812e+170  5.54358551e+171 -4.42488497e+171
  8.30995136e+168 -3.00458298e+170  1.17570882e+171  3.42280685e+171]"
52,"[-1.89500099e+163 -1.22004231e+164 -9.11844306e+162  5.31952119e+162
 -1.71153874e+162 -1.25617590e+162  3.97721864e+164  1.44964552e+164
 -1.88414485e+163 -6.06958482e+163 -6.82680225e+162 -1.77434587e+164]"
53,"[ 4.01899166e+162  4.28985315e+163  1.15858720e+162  2.06099226e+162
  1.07079432e+163  2.66575181e+161  5.81550647e+163 -4.93550503e+163
  4.01543609e+162  1.31488424e+163  2.61072591e+162  4.50996567e+163]"
54,"[3.75911760e+173 3.11774419e+174 1.28503572e+173 7.80036569e+172
 7.22688889e+173 2.69960083e+172 1.92728136e+175 4.35476073e+175
 3.74814785e+173 1.21601522e+174 2.00110254e+173 3.35836601e+174]"
55,"[-1.70181068e+174 -1.20868900e+175 -6.87193217e+173  9.65578860e+172
 -2.45098048e+174 -7.01456359e+172  1.29826002e+175  1.70809708e+175
 -1.69604759e+174 -5.20400058e+174 -1.50944067e+174 -1.25990584e+175]"
56,"[-7.47854371e+184 -9.89362669e+185  4.14562968e+183 -6.12218885e+184
 -3.21807990e+185 -6.59068194e+183 -4.53413990e+184  3.14183340e+185
 -7.45763518e+184 -2.10212596e+185 -5.56435153e+184 -8.46651995e+185]"
57,"[-5.20077811e+162 -3.87544722e+163 -2.89484437e+162 -4.37972847e+161
 -1.54644814e+163 -3.97719274e+161 -1.17159660e+163  7.13246407e+163
 -5.17915442e+162 -1.76953129e+163 -1.71803924e+162 -5.45302522e+163]"
58,"[-6.60868496e+169 -4.47742478e+170 -3.72741301e+169 -1.52430217e+169
 -1.19920820e+170 -4.02021572e+168 -2.69856468e+170  4.18397351e+170
 -6.58388391e+169 -2.33706517e+170 -4.05095357e+169 -7.52948153e+170]"
59,"[-1.21556035e+169 -5.45677460e+169 -1.42076930e+168 -7.97490683e+168
 -2.92523884e+169  5.59557994e+167  7.89549828e+169  1.42587361e+170
 -1.21043588e+169 -4.31198189e+169 -1.35338099e+168 -1.30235701e+170]"
60,"[ 5.34265283e+179  1.19920183e+181  3.71555352e+179  7.45899677e+179
  3.07373893e+180 -1.97146918e+179  3.94970380e+181  9.89704849e+181
  5.36397833e+179  1.61967976e+180  1.09438183e+179  8.14856288e+180]"
