rodada,pesos
53,"[[-1.06035116e+35 -7.28698844e+35 -2.97215157e+34 -3.58107630e+34
  -7.48960214e+35 -4.98599990e+33 -4.13450117e+36 -1.60470359e+37
  -1.05453859e+35 -3.37935727e+35 -5.23270005e+34 -1.09672751e+36]]"
54,"[[2.54483077e+36 1.75054495e+37 7.11169086e+35 8.60722564e+35
  1.80478206e+37 1.19445027e+35 9.91830259e+37 3.85568893e+38
  2.53095540e+36 8.11633984e+36 1.25671153e+36 2.63280785e+37]]"
55,"[[8.85742891e+36 6.09096760e+37 2.47757505e+36 2.99665821e+36
  6.24947784e+37 4.13973178e+35 3.42586948e+38 1.33788206e+39
  8.80893810e+36 2.82520416e+37 4.36508580e+36 9.16509105e+37]]"
56,"[[1.22593253e+37 8.44382933e+37 3.43820667e+36 4.15395696e+36
  8.64081612e+37 5.80315980e+35 4.76707131e+38 1.86120188e+39
  1.21921961e+37 3.90813186e+37 6.05369467e+36 1.26899287e+38]]"
57,"[[2.00921592e+36 1.38060942e+37 5.65073914e+35 6.79475535e+35
  1.41390781e+37 9.48723854e+34 7.80666105e+37 3.04935606e+38
  1.99822444e+36 6.40812910e+36 9.95348930e+35 2.07717437e+37]]"
58,"[[1.53813888e+35 1.05957638e+36 4.31602237e+34 5.25013050e+34
  1.08443680e+36 7.29683035e+33 5.98761685e+36 2.33123209e+37
  1.52973800e+35 4.90364333e+35 7.60339576e+34 1.58956600e+36]]"
59,"[[-1.14311144e+37 -7.86728346e+37 -3.21136250e+36 -3.87832580e+36
  -7.99845126e+37 -5.36636100e+35 -4.39937295e+38 -1.72297846e+39
  -1.13682359e+37 -3.64556034e+37 -5.66118856e+36 -1.18342318e+38]]"
60,"[[-1.35526908e+37 -9.31178359e+37 -3.79887725e+36 -4.60190779e+36
  -9.58897474e+37 -6.38518659e+35 -5.28910344e+38 -2.05921977e+39
  -1.34784411e+37 -4.32146337e+37 -6.71718633e+36 -1.40245532e+38]]"
61,"[[1.63359195e+37 1.12411287e+38 4.57152876e+36 5.51607944e+36
  1.15768623e+38 7.69921704e+35 6.34940771e+38 2.47482071e+39
  1.62465763e+37 5.20872823e+37 8.09864000e+36 1.69059501e+38]]"
62,"[[4.65739464e+36 3.20183389e+37 1.30360108e+36 1.57759759e+36
  3.28915305e+37 2.20024984e+35 1.80968351e+38 7.04204717e+38
  4.63191827e+36 1.48512679e+37 2.29859888e+36 4.81446417e+37]]"
63,"[[1.90947830e+37 1.31300878e+38 5.35569227e+36 6.46089504e+36
  1.34881991e+38 8.96133666e+35 7.39386329e+38 2.88441325e+39
  1.89903938e+37 6.08860731e+37 9.44692582e+36 1.97403681e+38]]"
64,"[[1.49849418e+36 1.03016808e+37 4.20324689e+35 5.07647311e+35
  1.05343895e+37 7.06953938e+34 5.83202433e+37 2.27582478e+38
  1.49027957e+36 4.77813571e+36 7.42478777e+35 1.54950249e+37]]"
65,"[[4.87316131e+36 3.35219685e+37 1.36791973e+36 1.64768979e+36
  3.40825261e+37 2.28408848e+35 1.90302079e+38 7.37109998e+38
  4.84634865e+36 1.55331574e+37 2.41030307e+36 5.03921395e+37]]"
66,"[[1.02201873e+37 7.04135621e+37 2.86390787e+36 3.48367552e+36
  7.13644312e+37 4.82089089e+35 3.96332933e+38 1.54956626e+39
  1.01640586e+37 3.25701575e+37 5.06123073e+36 1.05733976e+38]]"
