pt_otimo[x],pt_otimo[y],f(otimo),hiperparametro
-102.90766146764363,-126.13006445647841,-173.39802257655234,0.7556465895089536
-102.90766146764363,-126.13006445647841,-173.39802257655234,0.1982342018528429
-102.6321379659559,-126.86388995051507,-174.0920223458039,0.9763831622171903
-102.6321379659559,-126.86388995051507,-174.0920223458039,0.24127627795041806
-102.6321379659559,-126.86388995051507,-174.0920223458039,0.726960713342182
-102.6321379659559,-126.86388995051507,-174.0920223458039,0.1803348893757568
-102.23073669971262,-126.49189008439382,-174.2327290888965,0.8097276917256951
-102.23073669971262,-126.49189008439382,-174.2327290888965,0.19186586888968193
-102.23073669971262,-126.49189008439382,-174.2327290888965,0.9954160492109467
-102.23073669971262,-126.49189008439382,-174.2327290888965,0.41022078853205646
-102.23073669971262,-126.49189008439382,-174.2327290888965,0.7504195615070768
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.5123006357755864
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.7821503423580606
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.16290149538213372
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.23224670422168092
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.6908646502478789
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.8544172014070163
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.2599260514169568
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.29298823591939926
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.19756591827527015
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.2219332997617609
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.7399873900276758
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.868761381888204
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.015075574223430976
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.5631687034263115
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.3393754382192261
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.5930196084134117
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.512345825234666
-101.77734609277157,-126.0457680723372,-174.32519158945775,0.3257509384487314
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.6755945260298428
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.0901478131710266
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.8174686822386502
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.49680023063466094
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.00711435247789538
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.01702670779874682
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.88663754298558
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.5375060990708813
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.3940468722888105
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.6457383017990435
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.28599278581376353
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.6350254315815052
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.5115502044015022
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.7486967761874648
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.4637707873666931
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.9573228188778184
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.21276950300353514
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.13286235715032135
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.8176528757576078
-101.5779196273098,-126.03927255772942,-174.35698644442581,0.299303193354135
